horse_id,horse,trainer,trainer_id,owner,owner_id,sire,sire_id,dam,dam_id
hrs_47620832,Mujeres Isla (IRE),Robert Tyner,trn_49986,Brendan Keogh,own_907200,Order Of St George (IRE),sir_6059046,Miss Saoirse Dee (IRE),dam_47620825
hrs_29621851,Snow Punt (IRE),Brendan Maurice Walsh,trn_359820,Brendan Madden,own_1321252,Snow Sky (GB),sir_5897101,Puntabrook (IRE),dam_5088524
hrs_37288853,Jlow (IRE),C W J Farrell,trn_125676,Brendan Mcneill,own_1013132,Footstepsinthesand (GB),sir_4217458,Boreagh Lass (IRE),dam_10109554
hrs_18780965,Custers Mistake (IRE),Ross Tumilty,trn_369225,Brendan Mcneill,own_1013132,Zoffany (IRE),sir_5292651,Nancy Spain (IRE),dam_5741260
hrs_36696275,Struck By Churchil (GB),Andrew Slattery,trn_95292,Brendan Osullivan,own_820036,Churchill (IRE),sir_6345339,Struck By The Moon (GB),dam_7662116
hrs_37576532,Total Look (FR),Gavin Cromwell,trn_160524,Brendan Rogers,own_1345072,Cloth Of Stars (IRE),sir_6234816,Cat Nova (FR),dam_5417930
hrs_39699226,Heroes Rise (IRE),Gordon Elliott,trn_163305,Brendan Scully,own_233100,Sandmason (GB),sir_3548951,Turbine Hill (IRE),dam_4185552
hrs_24769598,Rodaniche (IRE),Gordon Elliott,trn_163305,Brendan Scully,own_233100,Arcadio (GER),sir_4472293,Shanendou (IRE),dam_5864446
hrs_43320683,Baron Blake (FR),John Joseph Hanlon,trn_169605,Brendan Sweeney,own_493360,Wootton Bassett (GB),sir_5246346,Rapid Transaction (USA),dam_4614036
hrs_35336042,A Penny A Hundred (FR),W P Mullins,trn_13275,Brendan T Osullivan,own_1312624,Jukebox Jury (IRE),sir_4966836,One Day More (IRE),dam_5846631
hrs_34473852,Arctic Fly (IRE),W P Mullins,trn_13275,Brendan T Osullivan,own_1312624,Walk In The Park (IRE),sir_4218179,Arctic Lady (GER),dam_31287802
hrs_44690233,Chesterbaylad (IRE),Ms Helen P Markham,trn_129276,Brian A Heaslip,own_1394348,Ribchester (IRE),sir_6257503,Sea The Sun (GER),dam_20664441
hrs_38203025,Ol Man Dingle (IRE),Eoin Griffin,trn_72864,Brian Caherty,own_1370836,Ol' Man River (IRE),sir_5957350,Curragh Na Gold (IRE),dam_5955712
hrs_412712153,Rock Of Baile Ur (IRE),Eoin Griffin,trn_72864,Brian Caherty,own_1370836,Mount Nelson (GB),sir_4624228,Lady Bishop (IRE),dam_22364349
hrs_36123087,Suile Ban (IRE),Denis Gerard Hogan,trn_196911,Brian Castle,own_832480,Pour Moi (IRE),sir_5389447,Miss Greinton (GER),dam_3791053
hrs_36809878,Tremaine (GB),Denis Gerard Hogan,trn_196911,Brian Castle,own_832480,Expert Eye (GB),sir_10504137,Rostova (USA),dam_6285734
hrs_16408945,Rasiym (FR),E J O'Grady,trn_37161,Brian Comer,own_135408,Reliable Man (GB),sir_5237785,Raiysina (GB),dam_6347922
hrs_35149849,Capellina (GB),R K Watson,trn_15669,Brian Cully,own_1202608,Starspangledbanner (AUS),sir_5084065,Holley Shiftwell (GB),dam_5807053
hrs_15289078,The Names Jock (IRE),John E & Thomas Kiely,trn_364005,Brian Gleeson Db Partnership,own_1213364,Famous Name (GB),sir_4784598,Perfect Touch (USA),dam_3937458
