race_id,race_name,course
rac_11304579,Support The Irish Injured Jockeys Fund Hurdle,Wexford (IRE)
rac_11304566,BoyleSports Maiden Hurdle,Wexford (IRE)
rac_11304553,Fleadh Cheoil Wexford August 4th - 11th Handicap Hurdle (Div I),Wexford (IRE)
rac_11304540,Wexford Racecourse Rated Hurdle,Wexford (IRE)
rac_11304332,Free Streaming All Racing At Tote.ie Handicap Hurdle,Limerick (IRE)
rac_11304319,Tote.ie Handicap Hurdle,Limerick (IRE)
rac_11304306,Tote Never Beaten By SP Handicap Hurdle,Limerick (IRE)
rac_11304293,McMahons Builders Providers Mares Maiden Hurdle,Limerick (IRE)
rac_11304280,Connolly's RED MILLS Irish EBF Auction Maiden Hurdle (IRE Incentive Race),Limerick (IRE)
rac_11304267,Download The New Tote App Claiming Hurdle,Limerick (IRE)
rac_11306191,Dunmore East Handicap Hurdle,Tramore (IRE)
rac_11306178,Kilmeaden Mares' Maiden Hurdle,Tramore (IRE)
rac_11306165,Butlerstown Handicap Hurdle,Tramore (IRE)
rac_11306152,Ballyduff Maiden Hurdle,Tramore (IRE)
rac_11307842,Cnoc An Oir Handicap Hurdle,Listowel (IRE)
rac_11307829,Paddy Woods Handicap Hurdle,Listowel (IRE)
rac_11307816,John Thomas McNamara Handicap Hurdle,Listowel (IRE)
rac_11307803,Shay Rooney Opportunity Maiden Hurdle,Listowel (IRE)
rac_11307790,Join The Listowel Races Supporters Club Maiden Hurdle,Listowel (IRE)
rac_11307777,Anglo Printers Remembering John H. Kierans Mares Hurdle,Listowel (IRE)
rac_11307556,Racing TV Supporting Irish Racing Handicap Hurdle,Tramore (IRE)
rac_11307543,Start Your Racing TV Free Trial Now Maiden Hurdle,Tramore (IRE)
rac_11307530,racingtv.com/freetrial Handicap Hurdle,Tramore (IRE)
rac_11307517,Try Racing TV For Free At racingtv.com/freetrial Maiden Hurdle,Tramore (IRE)
rac_11307712,Midlands National Day Friday 12th July Handicap Hurdle,Kilbeggan (IRE)
rac_11307699,Joe Quinn Transport Longford Handicap Hurdle,Kilbeggan (IRE)
rac_11307686,KilbegganRaces.com Novice Hurdle,Kilbeggan (IRE)
rac_11307673,Adare Manor Opportunity Maiden Hurdle,Kilbeggan (IRE)
rac_11308791,Join Racing TV Now Handicap Hurdle,Listowel (IRE)
rac_11308778,Southern Waste Management Mares Handicap Hurdle,Listowel (IRE)
rac_11308765,John B. Keane (C & G) Maiden Hurdle,Listowel (IRE)
rac_11308752,Nora Canty Mares Maiden Hurdle,Listowel (IRE)
rac_11318242,"Ladbrokes Play ""1-2-Free"" Handicap Hurdle (Div II)",Punchestown (IRE)
rac_11312028,"Ladbrokes Play ""1-2-Free"" Handicap Hurdle (Div I)",Punchestown (IRE)
rac_11312015,Ladbrokes Daily Odds Boost Maiden Hurdle,Punchestown (IRE)
rac_11312002,"Ladbrokes ""2Up&Win"" Maiden Hurdle",Punchestown (IRE)
rac_11311989,"Ladbrokes ""We Play Together"" Novice Hurdle",Punchestown (IRE)
rac_11312132,K-Mech Mechanical Handicap Hurdle,Punchestown (IRE)
rac_11312119,John Dowling Memorial Maiden Hurdle,Punchestown (IRE)
rac_11312106,Lily & Wild Mares Maiden Hurdle,Punchestown (IRE)
rac_11312093,Cheers To The Punchestown Women Ladies Handicap Hurdle,Punchestown (IRE)
rac_11312080,Thank You Tom Maguire From All At Punchestown Hurdle,Punchestown (IRE)
rac_11319386,Shanagher Hearing Handicap Hurdle (Div II),Roscommon (IRE)
rac_11318203,Midsummer's Day With The Stars On Sunday 23rd June Handicap Hurdle,Roscommon (IRE)
rac_11318190,Ivan Connaughton Auctioneers Rated Novice Hurdle,Roscommon (IRE)
rac_11318177,Shanagher Hearing Handicap Hurdle (Div I),Roscommon (IRE)
rac_11318164,www.roscommonracecourse.ie Opportunity Maiden Hurdle,Roscommon (IRE)
rac_11319568,Lake Isle Of Innisfree Handicap Hurdle (Div II),Sligo (IRE)
rac_11318671,Glasshouse Hotel (Q.R.) Handicap Hurdle,Sligo (IRE)
rac_11318658,Kevin Egan Cars Commercial Vehicle Range Handicap Hurdle,Sligo (IRE)
